feature,importance
lag_7,0.6215669160850072
lag_14,0.31113680329764404
rolling_7_mean,0.030938145157158006
lag_1,0.012289780561903114
rolling_14_mean,0.010741898031472307
is_holiday,0.005690841840848451
day_of_week,0.002025115750401283
day_index,0.0017329346594712083
month_cos,0.0013177459518674713
dow_cos,0.0009689956553193607
dow_sin,0.0007730731303406155
is_weekend,0.00025353720742404216
week_of_year,0.00022586535284871914
category_id,0.00016877421728206117
perishability_score,6.902828668863864e-05
bulky_score,4.070325333307159e-05
month,1.9456497746928714e-05
ecommerce_index,1.90948830347957e-05
population,1.6841483677243687e-05
month_sin,4.448696531304901e-06
income_index,0.0
dest_region_id,0.0
