task,model,feature,importance
peak_demand_risk,HistGradientBoostingClassifier,region_category_cv,0.0
peak_demand_risk,HistGradientBoostingClassifier,region_category_avg_volume,0.0
stockout_risk,LogisticRegression,day_of_week,1.3187590418905764
stockout_risk,LogisticRegression,above_rolling_mean_flag,0.8538290036208206
stockout_risk,LogisticRegression,ewma_7,0.7438708756115717
stockout_risk,LogisticRegression,ewma_14,0.5672292051496676
stockout_risk,LogisticRegression,is_month_start,0.3141915863801848
stockout_risk,LogisticRegression,is_month_end,0.1553082413177203
stockout_risk,LogisticRegression,rolling_mean_7,0.14518023166960994
stockout_risk,LogisticRegression,region_std_volume,0.08046786159636876
stockout_risk,LogisticRegression,category_std_volume,0.06390763318752923
stockout_risk,LogisticRegression,od_lane_volume_rank,0.05994780846350277
stockout_risk,LogisticRegression,lag_1,0.05381231564491838
stockout_risk,LogisticRegression,rolling_max_28,0.03947878237807044
stockout_risk,LogisticRegression,month,0.03795114183392193
stockout_risk,LogisticRegression,category_id,0.03663101630195329
stockout_risk,LogisticRegression,category_avg_volume,0.03202346517997049
stockout_risk,LogisticRegression,region_avg_volume,0.03083244118098874
stockout_risk,LogisticRegression,is_weekend,0.030039973036820204
stockout_risk,LogisticRegression,rolling_mean_14,0.029584859571862264
stockout_risk,LogisticRegression,rolling_min_28,0.01879144331148647
stockout_risk,LogisticRegression,nearest_hub_distance_km,0.01564374144456151
stockout_risk,RandomForestClassifier,day_of_week,0.23616058248813496
stockout_risk,RandomForestClassifier,above_rolling_mean_flag,0.09435384655595855
stockout_risk,RandomForestClassifier,lag_1,0.05141242222798169
stockout_risk,RandomForestClassifier,rolling_std_7,0.045486329404445414
stockout_risk,RandomForestClassifier,week_of_year,0.03766520662012982
stockout_risk,RandomForestClassifier,ewma_7,0.03651744506568527
stockout_risk,RandomForestClassifier,peak_ratio_30d,0.036369075533161585
stockout_risk,RandomForestClassifier,lag_7,0.03498453030570979
stockout_risk,RandomForestClassifier,rolling_mean_7,0.032459155302295144
stockout_risk,RandomForestClassifier,day,0.03195735302244775
stockout_risk,RandomForestClassifier,lag_14,0.03145482980254727
stockout_risk,RandomForestClassifier,rolling_mean_14,0.031073652021128165
stockout_risk,RandomForestClassifier,lag_28,0.030320805315794865
stockout_risk,RandomForestClassifier,is_weekend,0.028866369645736058
stockout_risk,RandomForestClassifier,ewma_14,0.02857874897753753
stockout_risk,RandomForestClassifier,expanding_mean,0.028550829592462825
stockout_risk,RandomForestClassifier,rolling_min_28,0.02653678687831678
stockout_risk,RandomForestClassifier,rolling_max_28,0.02353314770084826
stockout_risk,RandomForestClassifier,month,0.022753917403808315
stockout_risk,RandomForestClassifier,region_category_cv,0.012739311098582428
stockout_risk,GradientBoostingClassifier,day_of_week,0.6196914830596307
stockout_risk,GradientBoostingClassifier,above_rolling_mean_flag,0.12444225254418732
stockout_risk,GradientBoostingClassifier,month,0.056451087805082484
stockout_risk,GradientBoostingClassifier,rolling_std_7,0.04329630263208608
stockout_risk,GradientBoostingClassifier,week_of_year,0.03861273604558302
stockout_risk,GradientBoostingClassifier,day,0.02403387589788685
stockout_risk,GradientBoostingClassifier,rolling_min_28,0.017202065279634703
stockout_risk,GradientBoostingClassifier,rolling_mean_7,0.015904189773504142
stockout_risk,GradientBoostingClassifier,rolling_max_28,0.011041541951733642
stockout_risk,GradientBoostingClassifier,rolling_mean_14,0.0103110412906344
stockout_risk,GradientBoostingClassifier,category_id,0.007081421034154344
stockout_risk,GradientBoostingClassifier,lag_1,0.00670886885662202
stockout_risk,GradientBoostingClassifier,lag_7,0.0066484928384988266
stockout_risk,GradientBoostingClassifier,ewma_7,0.0031350000366157844
stockout_risk,GradientBoostingClassifier,region_category_cv,0.002640585503448776
stockout_risk,GradientBoostingClassifier,lag_28,0.002560774602120612
stockout_risk,GradientBoostingClassifier,peak_ratio_30d,0.0024314763077799974
stockout_risk,GradientBoostingClassifier,expanding_mean,0.002369126181063964
stockout_risk,GradientBoostingClassifier,lag_14,0.001954651504040271
stockout_risk,GradientBoostingClassifier,ewma_14,0.0010782291278529442
stockout_risk,HistGradientBoostingClassifier,nearest_hub_distance_km,0.0
stockout_risk,HistGradientBoostingClassifier,od_lane_volume_rank,0.0
stockout_risk,HistGradientBoostingClassifier,top_category_share_by_region,0.0
stockout_risk,HistGradientBoostingClassifier,category_entropy_by_region,0.0
stockout_risk,HistGradientBoostingClassifier,above_rolling_mean_flag,0.0
stockout_risk,HistGradientBoostingClassifier,peak_ratio_30d,0.0
stockout_risk,HistGradientBoostingClassifier,ewma_14,0.0
stockout_risk,HistGradientBoostingClassifier,ewma_7,0.0
stockout_risk,HistGradientBoostingClassifier,expanding_mean,0.0
stockout_risk,HistGradientBoostingClassifier,rolling_min_28,0.0
stockout_risk,HistGradientBoostingClassifier,rolling_max_28,0.0
stockout_risk,HistGradientBoostingClassifier,rolling_std_7,0.0
stockout_risk,HistGradientBoostingClassifier,rolling_mean_14,0.0
stockout_risk,HistGradientBoostingClassifier,rolling_mean_7,0.0
stockout_risk,HistGradientBoostingClassifier,lag_28,0.0
stockout_risk,HistGradientBoostingClassifier,lag_14,0.0
stockout_risk,HistGradientBoostingClassifier,lag_7,0.0
stockout_risk,HistGradientBoostingClassifier,lag_1,0.0
stockout_risk,HistGradientBoostingClassifier,region_category_cv,0.0
stockout_risk,HistGradientBoostingClassifier,region_category_avg_volume,0.0
late_delivery_risk,LogisticRegression,day_of_week,0.8946729626323977
late_delivery_risk,LogisticRegression,above_rolling_mean_flag,0.8907254583088408
late_delivery_risk,LogisticRegression,ewma_7,0.6389834506519477
late_delivery_risk,LogisticRegression,ewma_14,0.6299572905432321
late_delivery_risk,LogisticRegression,is_month_start,0.2203155549201978
late_delivery_risk,LogisticRegression,is_month_end,0.127737002258089
late_delivery_risk,LogisticRegression,peak_ratio_30d,0.10119155078295052
late_delivery_risk,LogisticRegression,region_std_volume,0.07768652425759322
late_delivery_risk,LogisticRegression,rolling_mean_14,0.07662692693441392
late_delivery_risk,LogisticRegression,category_std_volume,0.06964723578801861
late_delivery_risk,LogisticRegression,rolling_mean_7,0.06328632252690945
