model,MAE,RMSE,R2,MAPE,sMAPE,WAPE,Peak-season WAPE
RandomForestRegressor,5.254468253968254,8.083453868353486,0.996820548331381,0.031108265694778377,0.030752627197501825,0.02422668604617123,
HistGradientBoostingRegressor,6.89228655610717,9.29505397367126,0.9957960055780763,0.04288470961178414,0.041485295263287036,0.03177814661054453,
GradientBoostingRegressor,7.801828527887395,10.527026873610037,0.9946077531866484,0.05170900219580136,0.04907610262024106,0.03597175607416509,
Ridge,8.224857145518671,10.982663483325197,0.9941308710337128,0.05333597949174702,0.053086107838532307,0.037922206816760944,
LinearRegression,8.228618514643179,10.989403219331384,0.9941236654014598,0.053202190225664386,0.052765969955260505,0.03793954929643325,
Lasso,10.164958643676478,13.87039456031171,0.990638705031352,0.07429658478987564,0.0767098664878651,0.046867399293293435,
ElasticNet,10.170651793870817,13.870692340225444,0.9906383030765958,0.07441857799362885,0.07757894566959224,0.04689364860258707,
